                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5622,                 4.8087,                 1.9081,                0.03452,                0.07692,                0.02872,                 0.0049,                 1.9064,                 17.077,                 2.1514,                0.00016,                0.00016,                0.00016
                      2,                0.76915,                 1.7285,                  1.369,                0.92229,                0.91368,                0.97572,                 0.4807,                 1.4048,                 5.7239,                 2.0333,             0.00032654,             0.00032654,             0.00032654
                      3,                0.60607,                0.99887,                 1.2575,                0.91497,                0.76923,                0.89423,                0.60635,                 1.3544,                  2.905,                 1.6292,             0.00047882,             0.00047882,             0.00047882
                      4,                0.54442,                0.77063,                 1.2059,                0.85514,                0.90902,                 0.9671,                0.70879,                0.96676,                  1.838,                 1.5506,             0.00061684,             0.00061684,             0.00061684
                      5,                0.55451,                0.67695,                  1.229,                0.33213,                0.38462,                0.24934,                0.04724,                 3.4879,                 4.6986,                 4.8181,             0.00074061,             0.00074061,             0.00074061
                      6,                0.73464,                0.82704,                 1.3541,                0.06338,                0.15385,                0.01827,                0.00943,                 4.3526,                 15.791,                  5.611,             0.00085012,             0.00085012,             0.00085012
                      7,                0.61616,                0.69551,                 1.2683,                0.50508,                0.61538,                0.53229,                0.16592,                 2.3178,                 3.2163,                 3.1841,             0.00094538,             0.00094538,             0.00094538
                      8,                0.54388,                0.55352,                 1.2012,                0.27884,                0.46154,                0.22512,                0.07239,                 2.5767,                 4.3563,                 2.9694,              0.0010264,              0.0010264,              0.0010264
                      9,                 0.5799,                0.60116,                  1.232,                0.01649,                0.07692,                0.00314,                0.00045,                 4.6225,                  11.13,                 4.9076,              0.0010931,              0.0010931,              0.0010931
                     10,                0.54038,                0.55691,                  1.196,                0.01196,                0.23077,                0.00612,                0.00079,                  4.803,                  10.65,                 4.6632,              0.0011456,              0.0011456,              0.0011456
                     11,                0.54966,                0.53507,                 1.1829,                0.02666,                0.23077,                0.00717,                0.00232,                 4.3838,                 28.158,                 4.4455,              0.0011838,              0.0011838,              0.0011838
                     12,                0.53946,                  0.574,                 1.2137,                0.11261,                0.92308,                0.11425,                0.07133,                 1.3783,                 13.172,                 2.2721,              0.0011288,              0.0011288,              0.0011288
                     13,                 0.5657,                 0.5658,                 1.2208,                0.77725,                0.84615,                0.85046,                0.45697,                 1.4525,                 1.4543,                 2.3456,              0.0011288,              0.0011288,              0.0011288
                     14,                0.59792,                0.58416,                 1.2507,                0.79786,                0.84615,                0.91368,                0.59142,                 1.1803,                 1.1811,                 2.0091,              0.0010496,              0.0010496,              0.0010496
                     15,                0.55367,                0.54696,                 1.1823,                0.54101,                0.76923,                 0.5942,                0.24466,                 2.4162,                 1.4475,                 3.4167,              0.0009704,              0.0009704,              0.0009704
                     16,                0.92705,                 1.2775,                 1.6014,                0.35151,                0.66781,                0.32348,                0.10266,                  2.152,                 3.2154,                 3.0795,              0.0008912,              0.0008912,              0.0008912
                     17,                0.73591,                0.86261,                 1.4606,                0.05957,                0.92308,                0.08271,                0.04334,                 1.3787,                 33.544,                 1.7899,               0.000812,               0.000812,               0.000812
                     18,                0.65731,                0.84343,                 1.4781,                0.03387,                      1,                0.03988,                0.02858,                 0.9095,                 51.202,                 1.4617,              0.0007328,              0.0007328,              0.0007328
                     19,                0.71559,                0.84474,                 1.4658,                0.04615,                0.92308,                0.05294,                0.03822,                0.66463,                 32.639,                 1.2789,              0.0006536,              0.0006536,              0.0006536
                     20,                0.70225,                0.82944,                  1.391,                0.75578,                0.76923,                0.81367,                0.44521,                 1.4326,                 1.5139,                 2.3723,              0.0005744,              0.0005744,              0.0005744
                     21,                0.54099,                0.76377,                  1.251,                0.90776,                      1,                0.97857,                0.76232,                0.77182,                0.94897,                  1.426,              0.0004952,              0.0004952,              0.0004952
                     22,                0.50479,                0.65275,                 1.2428,                      1,                 0.9897,                  0.995,                0.86521,                0.56422,                0.92212,                 1.2023,               0.000416,               0.000416,               0.000416
                     23,                0.45941,                0.60352,                 1.2055,                0.99506,                      1,                  0.995,                0.88362,                0.54678,                0.72175,                 1.1915,              0.0003368,              0.0003368,              0.0003368
                     24,                0.53733,                0.75678,                 1.2235,                0.99415,                      1,                  0.995,                0.87222,                0.55134,                0.55389,                 1.2001,              0.0002576,              0.0002576,              0.0002576
                     25,                0.48055,                0.63119,                  1.181,                0.99351,                      1,                  0.995,                0.87254,                 0.5778,                0.55931,                  1.237,              0.0001784,              0.0001784,              0.0001784
